rating,ASIN
4.2,0819228389
4.2,1885865368
4.2,1580405304
4.2,0199914958
4.2,0801859433
4.2,0941188493
4.2,009190207X
4.2,0674064224
4.2,1250007534
4.2,1401301843
4.2,1466510005
4.2,1926778960
4.2,0804185360
4.2,379133896X
4.2,1888889764
4.2,0978575334
4.2,1449604757
4.2,0596520662
4.2,1606063278
4.2,1473620872
4.2,1634593944
4.2,0988711109
4.2,0786952210
4.2,159077146X
4.2,1632260425
4.2,156625163X
4.2,1118229037
4.2,0762753471
4.2,0912517395
4.2,0826316344
4.2,1910075000
4.2,1419700030
4.2,1897393504
4.2,158980273X
4.2,0470436425
4.2,0736069143
4.2,0749572582
4.2,1446305988
4.2,1450424538
4.2,1107111668
4.2,085786968X
4.2,0804143528
4.2,071484800X
4.2,1401873812
4.2,078797952X
4.2,0306819538
4.2,1434321363
4.2,0801485541
4.2,0802868533
4.2,1421674343
4.2,1606060589
4.2,022625383X
4.2,1607873869
4.2,1844677621
4.2,0891094202
4.2,0803621620
4.2,0873514211
4.2,0826130275
4.2,0764348930
4.2,0131496980
4.2,0979808642
4.2,1936221551
2.75,1598637983
3.1428571428571428,1780971842
3.1428571428571428,000755303X
3.1428571428571428,1482262770
3.1428571428571428,0073376914
3.1428571428571428,1598690515
3.1428571428571428,1560851392
3.1428571428571428,1118558766
3.1428571428571428,0983850518
3.1428571428571428,1888960191
3.1428571428571428,0801990769
3.1428571428571428,1579393233
3.6666666666666665,1285767276
3.6666666666666665,1583882154
3.6666666666666665,1511732512
3.6666666666666665,1606994409
3.6666666666666665,1430266104
3.6666666666666665,0132948869
3.6666666666666665,0875526772
3.6666666666666665,1462046215
3.6666666666666665,1511561238
3.6666666666666665,0062507311
3.6666666666666665,1502322811
3.6666666666666665,1892836122
3.6666666666666665,0826943152
3.6666666666666665,0486409260
3.6666666666666665,0321902491
3.6666666666666665,1558708502
3.6666666666666665,1470161478
3.6666666666666665,160547777X
3.6666666666666665,160725798X
3.6666666666666665,1628750847
3.6666666666666665,1591431913
3.6666666666666665,1490532536
3.6666666666666665,0615289657
3.6666666666666665,0857687506
3.6666666666666665,0465076165
3.6666666666666665,0750921854
3.6666666666666665,0740791303
3.6666666666666665,1617753521
3.6666666666666665,0804126291
3.6666666666666665,1285186850
3.6666666666666665,155643376X
3.6666666666666665,0137079206
3.6666666666666665,1580621880
3.6666666666666665,1558707107
3.6666666666666665,1880883007
3.6666666666666665,0398088810
3.6666666666666665,9056916033
3.6666666666666665,0785197664
3.6666666666666665,0198506740
3.6666666666666665,1896944396
4.4,0816528926
4.4,0880884703
4.4,0736080015
4.4,0071839763
4.4,0883683997
4.4,1845203348
4.4,1515231984
4.4,144947067X
4.4,0801990920
4.4,1628736496
4.4,1587799596
4.4,0912111445
4.4,0199365164
4.4,0754817644
4.4,1441424547
4.4,0991095103
4.4,0826602797
4.4,1572246472
4.4,0865165734
4.4,0899060862
4.4,0762736402
4.4,0470117249
4.4,142671193X
4.4,1419702246
4.4,0373879873
4.4,1861892829
4.4,031027494X
4.4,0071743839
4.4,0205578748
4.4,0996458107
4.4,1405175559
4.4,0984817417
4.4,0071788816
4.4,0306813394
4.4,1609184963
4.4,9839778765
4.4,1616269227
4.4,1565233220
4.4,1617292419
4.4,0895557444
4.4,029278130X
4.4,0674072677
4.4,0807752231
4.4,142141712X
4.4,1620700395
4.4,1461089344
4.4,1558853022
4.4,1608868095
4.4,1631529587
4.4,1630945072
4.4,0750675047
4.4,1585742945
4.4,161001040X
4.4,0735648700
4.4,099072431X
4.4,184920201X
4.4,1419709127
4.4,0325002096
4.4,1604864192
4.4,1783986867
4.4,1491751878
4.4,0692344810
4.4,188452804X
4.4,0825410606
4.4,1500224758
4.4,0230217249
4.4,1477406964
4.4,0810927713
4.4,1514301520
4.4,0062265504
4.4,0807016071
4.4,0321886739
4.4,0534372147
4.4,0817310622
4.4,1926920961
4.4,1412930294
4.4,1604429771
4.4,1610463331
4.4,1612626742
4.4,0814662404
4.4,1285870298
4.4,0811200825
4.4,0674007697
4.4,0156011581
4.4,1576750140
4.4,0784713251
4.4,0312253249
4.4,9027212228
4.4,032150481X
4.4,0957364806
4.4,0070272557
4.4,1508818312
4.4,1465039465
4.4,0292726716
4.4,007181308X
4.4,146962124X
4.4,1891383124
4.4,1452134782
4.4,160930117X
4.4,1421535874
4.4,0205309585
4.4,1285083903
4.4,1579108598
4.4,020593109X
4.4,1585038539
4.4,1935347241
4.4,1426200382
4.4,0967910056
4.4,1845206479
4.4,1568000715
4.4,1741045789
4.4,146711152X
4.4,0596529945
4.4,0817011714
4.4,9081082140
4.4,0521639875
4.4,0761118152
4.4,1408127474
4.4,0935926224
4.4,0761182705
4.4,1629371440
4.4,0967264723
4.4,0495808784
4.4,1612614116
4.4,0060185155
4.4,3867874220
4.4,1623363527
4.4,0879101075
4.4,0307279073
4.4,158948021X
4.4,1556708521
4.4,1614290520
4.4,184467570X
4.4,1612370446
4.4,0873511093
4.4,0804839484
4.4,1421407949
4.4,1402203578
4.4,0801477700
4.4,0805001948
4.4,0545626781
4.4,0312507178
4.4,1430266163
4.4,1565042301
4.4,089051299X
4.4,0977129470
4.4,1631590596
4.4,0393921638
4.4,1618681672
4.4,039391903X
4.4,0735599920
4.4,0133849333
4.4,1439048606
4.4,1881292258
4.4,0804731616
4.4,1626864713
4.4,0486494659
4.4,1886069212
4.4,1883830117
4.4,0134034309
4.4,1780548397
4.4,1844484254
4.4,1602379041
4.4,1572225629
4.4,1592537464
4.4,2080202308
4.4,1118436636
4.4,0615818153
4.4,0135103835
4.4,0226018164
4.4,1781847215
4.4,1933642092
4.4,1507643306
4.4,0073524182
4.4,0072131454
4.4,0930213351
4.4,1563673282
4.4,0735657807
4.4,1742701868
4.4,1578066697
4.4,0415482879
4.4,0757305539
4.4,0812217322
4.4,1452131414
4.4,1893441008
4.4,1937707857
4.4,0393319555
4.4,0131206680
4.4,0321751388
4.4,0520231430
4.4,0922154988
4.4,0674286081
4.4,0811833313
2.875,1741044812
2.875,0374181020
2.5555555555555554,0762446145
4.6,0307928365
4.6,1623437989
4.6,1612123775
4.6,1905692250
4.6,0970932103
4.6,1601626959
4.6,1423603206
4.6,0300115296
4.6,0815341881
4.6,0838818471
4.6,1606996908
4.6,012372564X
4.6,1849517789
4.6,0847844838
4.6,0933873980
4.6,076480202X
4.6,B016J2R3E8
4.6,0805042156
4.6,1587143763
4.6,0525428119
4.6,0847845311
4.6,1605987840
4.6,0919985041
4.6,1616494379
4.6,086559192X
4.6,0786443898
4.6,0764579509
4.6,096205027X
4.6,194112903X
4.6,1611321603
4.6,1556432267
4.6,081011514X
4.6,1741045665
4.6,0881924210
4.6,0873503619
4.6,080241396X
4.6,1426211813
4.6,0615972616
4.6,1560441879
4.6,1935408437
4.6,1557838577
4.6,1163197351
4.6,1626720479
4.6,0786928832
4.6,0531212890
4.6,1111648441
4.6,067473534X
4.6,098114392X
4.6,0470736194
4.6,0892721812
4.6,1461039150
4.6,1406644269
4.6,0205531954
4.6,1849044643
4.6,1554071798
4.6,0615435939
4.6,150061727X
4.6,0393934128
4.6,0789209888
4.6,0415639743
4.6,161374997X
4.6,1551053470
4.6,0922029679
4.6,1118288432
4.6,146713371X
4.6,1495327507
4.6,156305177X
4.6,1454802197
4.6,0314277870
4.6,1937660672
4.6,1591141923
4.6,1416297413
4.6,0810970724
4.6,1562865129
4.6,0470928441
4.6,1572841869
4.6,1581607342
4.6,0735598738
4.6,0979204763
4.6,178217138X
4.6,1626395683
4.6,0199545332
4.6,1780280971
4.6,0691136742
4.6,0878912746
4.6,0812704622
4.6,1421571455
4.6,1118674545
4.6,0312574827
4.6,0967162440
4.6,1903254515
4.6,1939666015
4.6,0760342474
4.6,1480008206
4.6,0077331249
4.6,0735667101
4.6,1612940676
4.6,012229064X
4.6,1569703434
4.6,1480209058
4.6,0806995181
4.6,0982923023
4.6,0884896897
4.6,1568812736
4.6,0982571801
4.6,1449343147
4.6,081170940X
4.6,0850528372
4.6,0131471376
4.6,1111352100
4.6,0785111654
4.6,1250060419
4.6,007828175X
4.6,0393938662
4.6,0132480522
4.6,1887317384
4.6,1101873280
4.6,1782550453
4.6,0738703176
4.6,0881550612
4.6,0980036305
4.6,1927173558
4.6,0374521484
4.6,1555914063
4.6,1594853436
4.6,0578034808
4.6,0877796742
4.6,1888343974
4.6,0764106899
4.6,0944350534
4.6,0140126635
4.6,110761550X
4.6,0876592841
4.6,0738611468
4.6,0935926283
4.6,0316187623
4.6,1419654756
4.6,0804718911
4.6,1570232512
4.6,0878424512
4.6,0735598673
4.6,162905447X
4.6,0815604343
4.6,1784720372
4.6,1472807707
4.6,149374433X
4.6,0984826270
4.6,0805465804
4.6,0143121952
4.6,1770462287
4.6,0747807108
4.6,185626808X
4.6,0205959490
4.6,0486269167
4.6,0393312437
4.6,193843823X
4.6,0893300748
4.6,0897335430
4.6,0262081598
4.6,158355033X
4.6,1420659677
4.6,1927668050
4.6,1133629687
4.6,0470300175
4.6,0913814105
4.6,0899066763
4.6,3867876711
4.6,1402208227
4.6,0980028876
4.6,0486260526
4.6,1596439319
4.6,068764447X
4.6,1593220790
4.6,1593080646
4.6,0470229004
4.6,0764810170
4.6,0077260538
4.6,0687021677
4.6,1610727916
4.6,1563680823
4.6,0415826594
4.6,0399526862
4.6,0813931401
4.6,0374312494
4.6,1606993674
4.6,1623434157
4.6,0778801748
4.6,1882926013
4.6,1927925274
4.6,0789399911
4.6,1889322555
4.6,0830827447
4.6,1421519194
4.6,0983213283
4.6,1588168271
4.6,076428150X
4.6,1782175431
4.6,0385663250
4.6,1567446930
4.6,0933029012
4.6,0321909712
4.6,0199536686
4.6,0375803467
4.6,0739836048
4.6,192792507X
4.6,0803616686
4.6,1495015866
4.6,1880000636
4.6,0751539112
4.6,0071752919
4.6,1285197399
4.6,1416299017
4.6,0873522958
4.6,0932615031
4.6,0253335361
4.6,1845842049
4.6,1419702319
4.6,048621401X
4.6,0913408719
4.6,0500252157
4.6,0872208265
4.6,0758635265
4.6,0500517460
4.6,0314266100
3.2857142857142856,0195365623
3.2857142857142856,0073405914
3.2857142857142856,0071744584
3.2857142857142856,0826108644
3.2857142857142856,0072844035
3.2857142857142856,0879753234
3.2857142857142856,1569755701
3.2857142857142856,0123745187
3.2857142857142856,1626394148
3.2857142857142856,0071823867
3.8333333333333335,1585624020
3.8333333333333335,1565042611
3.8333333333333335,193958793X
3.8333333333333335,0486236242
3.8333333333333335,0262516993
3.8333333333333335,0471331023
3.8333333333333335,0982661835
3.8333333333333335,1594850925
3.8333333333333335,155022980X
3.8333333333333335,0395698537
3.8333333333333335,0847826872
3.8333333333333335,0486296989
3.8333333333333335,013100218X
3.8333333333333335,1568383673
3.8333333333333335,0495809187
3.8333333333333335,0939837846
3.8333333333333335,039370386X
3.8333333333333335,1450813410
3.8333333333333335,1593762844
3.8333333333333335,0132272717
3.8333333333333335,1855325519
3.8333333333333335,0323052983
3.8333333333333335,0768937493
3.8333333333333335,1427795029
3.8333333333333335,1563924307
3.8333333333333335,1620551810
3.8333333333333335,0763610356
3.8333333333333335,1609497694
3.8333333333333335,0136792359
3.8333333333333335,031418953X
3.8333333333333335,0807829781
3.8333333333333335,1626562466
3.8333333333333335,1444102966
3.8333333333333335,066422699X
3.8333333333333335,0195019059
3.8333333333333335,0300197225
3.8333333333333335,0195068742
3.8333333333333335,0857687786
3.8333333333333335,0393708942
3.8333333333333335,1493009680
3.8333333333333335,1593936850
3.8333333333333335,0794430120
3.8333333333333335,1589973631
3.8333333333333335,1613150067
3.8333333333333335,178216460X
3.8333333333333335,1118662091
3.8333333333333335,1941629156
3.8333333333333335,0521441323
3.8333333333333335,1601380232
3.8333333333333335,1505680611
3.8333333333333335,1419717391
3.8333333333333335,0141396091
3.8333333333333335,1495949389
3.8333333333333335,0137072457
3.8333333333333335,0375766316
3.8333333333333335,0785198636
3.8333333333333335,0321821254
3.8333333333333335,0552160210
3.8333333333333335,0981531660
3.8333333333333335,0333782259
3.8333333333333335,006017093X
3.8333333333333335,1743210205
3.8333333333333335,0486292428
3.8333333333333335,0804769699
3.8333333333333335,156656770X
3.8333333333333335,1588467503
3.8333333333333335,0071822917
3.8333333333333335,158110846X
3.8333333333333335,1514643588
3.8333333333333335,1888534125
3.8333333333333335,047052247X
3.8333333333333335,0941010007
3.8333333333333335,0847836541
3.8333333333333335,1904920888
3.0,0375764895
4.0,1608864359
4.0,0545331528
4.0,1886230846
4.0,0470656581
4.0,1412855039
4.0,1474244947
4.0,185532430X
4.0,1455728594
4.0,1492234826
4.0,1934547263
4.0,081921454X
4.0,1576830144
4.0,0060096756
4.0,0393340589
4.0,3867877718
4.0,0131915673
4.0,0872591433
4.0,030794476X
4.0,1935828622
4.0,1133131077
4.0,0802124372
4.0,0897329201
4.0,1598635697
4.0,1419718932
4.0,1558741313
4.0,1614280606
4.0,052178574X
4.0,0262530309
4.0,1452226741
4.0,0525429514
4.0,1939979013
4.0,0760306036
4.0,0892879971
4.0,159403785X
4.0,1847080812
4.0,1870855612
4.0,0071840001
4.0,0874933277
4.0,0071613951
4.0,1783988363
4.0,1465431802
4.0,0882900358
4.0,0312089457
4.0,1457183226
4.0,0764346644
4.0,0078021464
4.0,0609607065
4.0,0804125724
4.0,1454809280
4.0,0521644089
4.0,1626400288
4.0,0853989990
4.0,0231153546
4.0,0615199283
4.0,1887840443
4.0,1574212036
4.0,0895267071
4.0,0471755478
4.0,1849057907
4.0,1560374586
4.0,1567263887
4.0,1452205582
4.0,0078119057
4.0,160620100X
4.0,047059876X
4.0,0133158314
4.0,0966712404
4.0,1782342826
4.0,0696217562
4.0,1449317758
4.0,1449469426
4.0,1939090121
4.0,1626342229
4.0,0736038272
4.0,1118510429
4.0,0691017875
4.8,3540221492
4.8,1604685255
4.8,0736078835
4.8,1449674291
4.8,1284042154
4.8,9671317502
4.8,0500517657
4.8,0807029270
4.8,0829817239
4.8,0793828627
4.8,0722536577
4.8,0310745551
4.8,023024288X
4.8,1423219619
4.8,0768937809
4.8,1606997785
4.8,0415821096
4.8,1456355716
4.8,1554074746
4.8,1628420006
4.8,1508823898
4.8,0071766855
4.8,1841623822
4.8,1938093038
4.8,1557988889
4.8,1554580560
4.8,1579908551
4.8,1556594577
4.8,0314278621
4.8,1609710665
4.8,1483814637
4.8,0815412088
4.8,1576582337
4.8,1612380565
4.8,0789910004
4.8,1599211785
4.8,0764969773
4.8,0071834737
4.8,0132565994
4.8,0760339945
4.8,1890856002
4.8,1943402027
4.8,1588720195
4.8,1905334982
4.8,0618003428
4.8,0615295096
4.8,0155551302
4.8,1555911277
4.8,0905138511
4.8,1421581752
4.8,1607109476
4.8,1573245968
4.8,0064467201
4.8,0137152302
4.8,1611800455
4.8,089577352X
4.8,1572249994
4.8,1566477166
4.8,0801449618
4.8,0837617103
4.8,0805243259
4.8,1626722838
4.8,0763734217
4.8,1454809299
4.8,0674996283
4.8,0958449317
4.8,1881982513
4.8,0760342660
4.8,0874222850
4.8,0838444016
4.8,1599253267
4.8,0471438812
4.8,1930604491
4.8,0805441913
4.8,142157859X
4.8,1400031737
4.8,1616557524
4.8,1612616283
4.8,174360517X
4.8,1454809248
4.8,1845879627
4.8,1598167227
4.8,1591869056
4.8,1517403537
4.8,0834802368
4.8,0593010442
4.8,1597142786
4.8,1606996614
4.8,0060637978
4.8,1517247845
4.8,0020902956
4.8,1770461787
4.8,1590215168
4.8,1489566392
4.8,1461039533
4.8,0756611946
4.8,1780192061
4.8,0314280367
4.8,1433681552
4.8,1610395301
4.8,0299286045
4.8,1421522802
4.8,0871271729
4.8,0373283385
4.8,0123969808
4.8,0803225164
4.8,0700620664
4.8,1285429702
4.8,1941733387
4.8,0199105332
4.8,1623255740
4.8,1604693185
4.8,161865778X
4.8,0996384510
4.8,0325026734
4.8,0879393890
4.8,1423606426
4.8,0061137855
4.8,1119990335
4.8,038794978X
4.8,0764347004
4.8,1602209588
4.8,0199334552
4.8,1401858775
4.8,0754823865
4.8,0399241639
4.8,1936164140
4.8,1598698311
4.8,9380028768
4.8,0060890266
4.8,0857333895
4.8,1569700567
4.8,0692211187
4.8,1499265565
4.8,097920478X
4.8,1782005935
4.8,1451176066
4.8,0789401509
4.8,0307592650
4.8,1588340007
4.8,1602376425
4.8,1629052779
4.8,0975982915
4.8,0312364377
4.8,1887726012
4.8,1572935456
4.8,082619348X
4.8,1848729995
4.8,147071132X
4.8,0996324747
4.8,1905045204
4.8,0764335189
4.8,1441591109
4.8,0826601537
4.8,0761532501
4.8,1570431183
4.8,0486250970
4.8,0764338625
4.8,0071768343
4.8,0231105673
4.8,144946856X
4.8,0975944606
4.8,087349007X
4.8,1620921871
4.8,0837602017
4.8,1939979021
4.8,1859604153
4.8,0793593913
4.8,0310815886
4.8,0762777621
4.8,0736041591
4.8,0936785284
4.8,1452235007
4.8,0811704920
4.8,1623437717
4.8,157860205X
4.8,1781168393
4.8,0985668105
4.8,0226401936
4.8,1621138089
4.8,1616148276
4.8,0812218817
4.8,1785721100
4.8,0071446818
4.8,1565238753
4.8,091721837X
4.8,1107679680
4.8,1137297182
4.8,0486665216
4.8,1930238622
4.8,0971497702
4.8,0300035225
4.8,1423413709
4.8,0983559414
4.8,0976102951
4.8,0843120363
4.8,0801035937
4.8,0262194759
4.8,0316261688
4.8,1934137847
4.8,162465004X
4.8,0945903049
4.8,0307591379
4.8,1465040242
4.8,0472033360
4.8,0131383531
4.8,1857333691
4.8,1940210062
4.8,0895555921
4.8,140518471X
4.8,0300197020
4.8,149360788X
4.8,1608867676
4.8,0978656962
4.8,0803913710
4.8,0764970267
4.8,0300204248
4.8,0931674840
4.8,9655241653
4.8,0762770295
4.8,1574091344
4.8,0761183027
4.8,0071591184
4.8,047012752X
4.8,1499387504
4.8,081990810X
4.8,1592533124
4.8,0761366768
4.8,1631400460
4.8,0062503154
4.8,0316004855
4.8,1576600246
4.8,0865652570
4.8,0922915148
4.8,0713489014
4.8,0764115529
4.8,1591026717
4.8,1841263036
4.8,0071362037
4.8,1934857092
4.8,1935067001
4.8,1770411364
4.8,0764311484
4.8,1479217042
4.8,0736067884
4.8,1567180701
4.8,076434837X
4.8,1585038156
4.8,1400202728
4.8,1557999821
4.8,0806140631
4.8,1435497635
4.8,073820241X
4.8,1780548605
4.8,1588160807
4.8,0135014077
4.8,0803639708
4.8,0701185767
4.8,1558497447
4.8,1111128618
4.8,1137354070
4.8,0142437042
4.8,0470916206
4.8,B008FCWYF4
4.8,159714066X
4.8,1553650557
4.8,1571986782
3.4285714285714284,0672337037
3.4285714285714284,1616890932
3.4285714285714284,0936728469
3.4285714285714284,0061231851
3.4285714285714284,1285431324
3.4285714285714284,0312330235
3.4285714285714284,1600593275
3.4285714285714284,144932391X
3.4285714285714284,0762755334
3.4285714285714284,1563921189
3.4285714285714284,1849706670
3.4285714285714284,1575252368
3.4285714285714284,1580172962
3.4285714285714284,0738610879
3.4285714285714284,1606995588
3.4285714285714284,0205731937
3.4285714285714284,159582779X
3.4285714285714284,1601621779
3.4285714285714284,096360600X
2.5,0131889508
2.5,1429283602
3.125,0521497892
3.125,1887624104
3.125,1499506791
3.125,0764596519
3.125,0768929083
3.125,0956596207
5.0,0061207470
5.0,1841549649
5.0,076034857X
5.0,178472050X
5.0,1608824632
5.0,048647285X
5.0,0671850156
5.0,1936976846
5.0,0915038412
5.0,1574093045
5.0,0939616459
5.0,1583304320
5.0,0252070356
5.0,1606523333
5.0,0991622804
5.0,1596432926
5.0,1622032276
5.0,0961894024
5.0,0300210299
5.0,0425180689
5.0,189718719X
5.0,1612787169
5.0,0942299663
5.0,0821220381
5.0,0967891701
5.0,1943612323
5.0,1944109005
5.0,0230103626
5.0,0939895153
5.0,0618391134
5.0,0323290612
5.0,1451194390
5.0,0896103862
5.0,0981889522
5.0,379137060X
5.0,0470570814
5.0,1419706926
5.0,1416298576
5.0,0762723262
5.0,0993284507
5.0,0756689724
5.0,0914881701
5.0,0979794323
5.0,081354615X
5.0,032823978X
5.0,0674168763
5.0,1507600577
5.0,1597111945
5.0,1609718682
5.0,0991634217
5.0,1575251302
5.0,0060521287
5.0,1449470742
5.0,1783601779
5.0,142154329X
5.0,1606790315
5.0,193747304X
5.0,1893858677
5.0,1841760935
5.0,0750633727
5.0,9927101163
5.0,1940636035
5.0,0115533427
5.0,0545405750
5.0,1610395646
5.0,1462116086
5.0,398165501X
5.0,0860375749
5.0,0975597612
5.0,0299219046
5.0,142340923X
5.0,0026276801
5.0,1580237185
5.0,0892553715
5.0,1402765924
5.0,1567184987
5.0,1629052787
5.0,0199740186
5.0,1586172344
5.0,0520068769
5.0,1851495177
5.0,0760347956
5.0,1493008250
5.0,1909125865
5.0,1631590618
5.0,1432936859
5.0,1593720130
5.0,0688061680
5.0,0966269748
5.0,1621067181
5.0,1631528106
5.0,0811855600
5.0,1561011142
5.0,0761553819
5.0,0994390408
5.0,1934000027
5.0,0615300871
5.0,0814649211
5.0,1466508914
5.0,1579101690
5.0,1879045311
5.0,1467110450
5.0,0300142277
5.0,0890136041
5.0,0714865818
5.0,1423434838
5.0,1932279539
5.0,1597141143
5.0,1107697387
5.0,1940014611
5.0,1934206288
5.0,0761183671
5.0,1118944410
5.0,0500050880
5.0,0738575801
5.0,3775738096
5.0,0946621632
5.0,2080136321
5.0,0814637663
5.0,1423603702
5.0,1594859396
5.0,0316298115
5.0,1887896104
5.0,1935628186
5.0,1595981500
5.0,1603200266
5.0,076430660X
5.0,3791353802
5.0,0970832133
5.0,1846883784
5.0,0802467539
5.0,0870334751
5.0,051770059X
5.0,0393925609
5.0,0899060250
5.0,1500118729
5.0,1942613032
5.0,0692470778
5.0,0300204302
5.0,1611174856
5.0,0975187325
5.0,0892814217
5.0,1495904202
5.0,1570612145
5.0,1576877108
5.0,1591610419
5.0,0822216582
5.0,1606998404
5.0,0821228447
5.0,0802829279
5.0,1743214278
5.0,0226785955
5.0,0809128276
5.0,1606998501
5.0,157432683X
5.0,0962492329
5.0,174089782X
5.0,1845840933
5.0,0971008027
5.0,1449465854
5.0,0847830756
5.0,1421539594
5.0,0887241158
5.0,0940450240
5.0,1440339562
5.0,1550173332
5.0,1903436915
5.0,0736039864
5.0,0615595006
5.0,149051838X
5.0,1493714694
5.0,1631210254
5.0,1588467163
5.0,1613251742
5.0,1600092977
5.0,1847960707
5.0,B00ZSDFMPW
5.0,0789401975
5.0,0300108745
5.0,0671663534
5.0,1903254698
5.0,1432936891
5.0,1886230560
5.0,0768321123
5.0,1588469425
5.0,0696225808
5.0,1423454588
5.0,0521608422
5.0,1593720602
5.0,0486498867
5.0,0894874640
5.0,0804744580
5.0,0764335154
5.0,1583947353
5.0,1626201315
5.0,073872355X
5.0,9673291551
5.0,0978791983
5.0,0226495558
5.0,189312181X
5.0,1928532004
5.0,1416297308
5.0,113360787X
5.0,1591200490
5.0,1111544093
5.0,0985476818
5.0,1611687667
5.0,0867169494
5.0,1614483760
5.0,1886947104
5.0,1512254967
5.0,1938318005
5.0,0882437100
5.0,0198556942
5.0,0071497080
5.0,0071835881
5.0,1593935579
5.0,0820327417
5.0,0810996944
5.0,0865621993
5.0,0310545404
5.0,0762456574
5.0,0553511084
5.0,0879389826
5.0,0810104571
5.0,1934649376
5.0,0736038256
5.0,0892812532
5.0,0195332547
5.0,0954502523
5.0,081666966X
5.0,0986351105
5.0,1607741687
5.0,1465015493
5.0,1586177990
5.0,0132336243
5.0,0753465809
5.0,194269900X
5.0,1505959853
5.0,081303275X
5.0,1462513115
5.0,0822958112
5.0,1615192808
5.0,0882405802
5.0,0956446000
5.0,0825433843
5.0,1592230555
5.0,1550170481
5.0,1567188346
5.0,1555838286
5.0,1118375386
5.0,1482684462
5.0,0620430303
5.0,0882897721
5.0,159337643X
5.0,1889108960
5.0,0757315267
5.0,0872884333
5.0,B00R1QP94I
5.0,1587368056
5.0,0071818812
5.0,076134201X
5.0,0763780316
5.0,1556347707
5.0,1909487341
5.0,1856698955
5.0,1770856048
5.0,0963651765
5.0,0375844422
3.5714285714285716,0879751061
3.5714285714285716,1419956604
3.5714285714285716,B00Q7DHDE0
3.5714285714285716,0847727831
3.5714285714285716,1937538532
3.5714285714285716,0395715563
3.5714285714285716,0495811289
3.5714285714285716,080199103X
3.5714285714285716,0768928214
3.5714285714285716,0240806883
3.5714285714285716,0553382004
3.5714285714285716,0060507217
3.5714285714285716,0810972778
3.5714285714285716,0345332741
3.5714285714285716,1781680744
3.5714285714285716,0838985076
3.5714285714285716,078512733X
3.5714285714285716,081170615X
3.5714285714285716,1512355127
3.5714285714285716,1416050132
3.5714285714285716,1468308610
3.5714285714285716,1606998196
3.5714285714285716,1853673684
3.5714285714285716,1906838852
3.5714285714285716,0321766180
3.5714285714285716,1887089160
3.5714285714285716,1609302354
3.5714285714285716,1454809930
3.5714285714285716,1563926490
3.5714285714285716,0316712639
3.5714285714285716,1583943609
3.5714285714285716,1576856194
3.5714285714285716,1598295934
3.5714285714285716,1574092340
3.5714285714285716,1620102145
3.5714285714285716,1585429325
3.5714285714285716,0495094986
3.5714285714285716,1419550136
